phi,minEig,StrEn,y0
2.52584049348619,1.26437695996147E-08,3.1663925225122E-07,0.222538107168348
2.52898208613978,1.26401293052755E-08,3.15375892568006E-07,0.221339821433869
2.53212367879337,1.2636352338081E-08,3.14120522492618E-07,0.220142159234431
2.53526527144696,1.26325914412425E-08,3.12873116276292E-07,0.218945129151383
2.53840686410055,1.26286542862058E-08,3.1163364834873E-07,0.217748739558209
2.54154845675414,1.26249029656857E-08,3.10402093317482E-07,0.216552998621947
2.54469004940773,1.2620950946643E-08,3.09178425967319E-07,0.215357914304641
2.54783164206132,1.26169864133991E-08,3.07962621259609E-07,0.214163494364779
2.55097323471491,1.26130347625601E-08,3.0675465433169E-07,0.212969746358763
2.5541148273685,1.260898856931E-08,3.05554500496246E-07,0.211776708801089
2.55725642002209,1.26050139660992E-08,3.0436213524065E-07,0.210584295372154
2.56039801267568,1.26008732768129E-08,3.03177534226387E-07,0.20939260650713
2.56353960532927,1.25968366921682E-08,3.02000673288364E-07,0.208201617810051
2.56668119798286,1.25926582616907E-08,3.00831528434309E-07,0.207011335849331
2.56982279063645,1.25884735499042E-08,2.99670075844128E-07,0.205821766998682
2.57296438329004,1.25843341767785E-08,2.98516291869269E-07,0.20463291744243
2.57610597594363,1.25801165799306E-08,2.97370153032088E-07,0.203444793173169
2.57924756859722,1.25758406531561E-08,2.96231636025217E-07,0.202257399995141
2.58238916125081,1.25715804258415E-08,2.95100717710918E-07,0.201070743525532
2.5855307539044,1.25672290587031E-08,2.93977375120459E-07,0.199884829195765
2.58867234655799,1.25629036815715E-08,2.92861585453469E-07,0.198699662253191
2.59181393921158,1.2558534124226E-08,2.91753326077307E-07,0.197515247762556
2.59495553186517,1.25542257646375E-08,2.90652574526426E-07,0.19633159060747
2.59809712451876,1.25498311743574E-08,2.89559308501734E-07,0.195148695492032
2.60123871717235,1.25453763054164E-08,2.88473505869966E-07,0.19396656694227
2.60438030982594,1.2540922047255E-08,2.87395144663049E-07,0.192785209307741
2.60752190247953,1.2536486102908E-08,2.86324203077464E-07,0.191604626762981
2.61066349513312,1.25320488856607E-08,2.85260659473623E-07,0.190424823309088
2.61380508778671,1.25275489553334E-08,2.84204492375229E-07,0.189245802775242
2.6169466804403,1.25229907728343E-08,2.83155680468655E-07,0.188067568820233
2.62008827309389,1.25184709423088E-08,2.8211420260231E-07,0.186890124933952
