xUnsc,yUnsc
144.87,155
149.34,151.01
153.77,147.23
158.19,143.15
162.64,139.81
167.01,135.22
171.45,131.72
175.89,127.95
180.31,124.71
184.77,123.38
189.19,122.33
193.62,121.47
198.02,122.72
