phi,minEig,StrEn,y0
1.91322992603618,2.10489025407936E-08,4.4350145998188E-06,-0.696142181978779
1.91637151868977,2.09453520364685E-08,4.45069707686779E-06,-0.695925534652258
1.91951311134336,2.08424369382943E-08,4.46639538232331E-06,-0.69569830609789
1.92265470399695,2.07402896984092E-08,4.48210929607546E-06,-0.695460504938732
1.92579629665054,2.06387558572231E-08,4.49783859764323E-06,-0.695212140458266
1.92893788930413,2.05379681248845E-08,4.51358306619161E-06,-0.694953222601473
1.93207948195772,2.04378420529036E-08,4.52934248054883E-06,-0.694683761975552
1.93522107461131,2.03383797135447E-08,4.54511661922359E-06,-0.694403769851075
1.9383626672649,2.02395984635838E-08,4.56090526042235E-06,-0.694113258162457
1.94150425991849,2.01414563956719E-08,4.57670818206669E-06,-0.693812239508694
1.94464585257208,2.00440113485899E-08,4.59252516181076E-06,-0.693500727153896
1.94778744522567,1.99472494967045E-08,4.60835597705861E-06,-0.693178735027841
1.95092903787926,1.9851208474049E-08,4.6242004049818E-06,-0.692846277726029
1.95407063053285,1.97556551755972E-08,4.64005822253682E-06,-0.692503370510327
1.95721222318644,1.96610005196007E-08,4.65592920648269E-06,-0.692150029308535
1.96035381584003,1.95669226883864E-08,4.67181313339851E-06,-0.691786270714929
1.96349540849362,1.94734193934068E-08,4.68770977970104E-06,-0.691412111989844
1.96663700114721,1.9380658475361E-08,4.70361892166239E-06,-0.691027571059525
1.9697785938008,1.92884889876926E-08,4.71954033542756E-06,-0.690632666516012
1.97292018645439,1.91970524338006E-08,4.73547379703215E-06,-0.690227417616308
1.97606177910798,1.91061915886167E-08,4.75141908241999E-06,-0.689811844282227
1.97920337176157,1.90160903998683E-08,4.76737596746081E-06,-0.689385967099394
1.98234496441516,1.89265199761037E-08,4.78334422796788E-06,-0.688949807316765
1.98548655706875,1.88375481104298E-08,4.79932363971567E-06,-0.688503386845634
1.98862814972234,1.87493393005477E-08,4.81531397845746E-06,-0.688046728258237
1.99176974237593,1.86616935880406E-08,4.83131501994307E-06,-0.68757985478722
1.99491133502952,1.85746410397813E-08,4.84732653993634E-06,-0.687102790323911
1.99805292768311,1.84882757034513E-08,4.86334831423286E-06,-0.686615559417203
2.0011945203367,1.84025529196649E-08,4.8793801186774E-06,-0.686118187271774
2.00433611299029,1.83175092858164E-08,4.89542172918153E-06,-0.6856106997468
2.00747770564388,1.8232963506108E-08,4.91147292174115E-06,-0.685093123353686
2.01061929829747,1.81490314216031E-08,4.92753347245388E-06,-0.684565485254552
2.01376089095106,1.80657376208101E-08,4.94360315753647E-06,-0.68402781326017
2.01690248360465,1.7983049325206E-08,4.9596817533423E-06,-0.683480135827677
2.02004407625824,1.79009808964738E-08,4.97576903637854E-06,-0.682922482058198
2.02318566891183,1.78194786700976E-08,4.99186478332353E-06,-0.682354881694654
2.02632726156542,1.77385679708082E-08,5.00796877104391E-06,-0.681777365119134
2.02946885421901,1.76582439998357E-08,5.02408077661182E-06,-0.681189963350015
2.0326104468726,1.75786010109704E-08,5.04020057732191E-06,-0.680592708039321
2.03575203952619,1.74994265532205E-08,5.05632795070838E-06,-0.679985631469668
2.03889363217978,1.74209195410203E-08,5.07246267456184E-06,-0.679368766551259
2.04203522483337,1.73429830055917E-08,5.08860452694618E-06,-0.678742146818422
2.04517681748696,1.7265580695088E-08,5.10475328621531E-06,-0.678105806426496
2.04831841014054,1.7188742152705E-08,5.12090873102975E-06,-0.677459780148203
2.05146000279413,1.71125016103916E-08,5.13707064037324E-06,-0.676804103369782
2.05460159544772,1.70367653907563E-08,5.15323879356918E-06,-0.676138812087585
2.05774318810131,1.69616581092509E-08,5.16941297029691E-06,-0.675463942903838
2.0608847807549,1.68871111879619E-08,5.18559295060798E-06,-0.67477953302266
2.06402637340849,1.6813099599157E-08,5.20177851494226E-06,-0.67408562024586
2.06716796606208,1.67395695011841E-08,5.21796944414389E-06,-0.673382242968387
2.07030955871567,1.66666511793252E-08,5.23416551947718E-06,-0.672669440174284
2.07345115136926,1.65942839604135E-08,5.25036652264229E-06,-0.671947251431495
2.07659274402285,1.65223787074133E-08,5.26657223579087E-06,-0.671215716887527
2.07973433667644,1.64511055614762E-08,5.28278244154148E-06,-0.670474877264027
2.08287592933003,1.63802739890455E-08,5.29899692299489E-06,-0.669724773852354
2.08601752198362,1.63099829121717E-08,5.31521546374925E-06,-0.668965448507899
2.08915911463721,1.62401873095504E-08,5.3314378479151E-06,-0.668196943644799
2.0923007072908,1.61709404935617E-08,5.34766386013017E-06,-0.667419302230596
2.09544229994439,1.61021908099381E-08,5.36389328557411E-06,-0.666632567780554
2.09858389259798,1.60339840574192E-08,5.38012590998295E-06,-0.665836784351827
2.10172548525157,1.59662025989328E-08,5.39636151966345E-06,-0.665031996537643
2.10486707790516,1.58989659160807E-08,5.41259990150727E-06,-0.664218249461166
2.10800867055875,1.58322736720476E-08,5.42884084300491E-06,-0.663395588769379
2.11115026321234,1.57659878308806E-08,5.44508413225956E-06,-0.662564060626779
2.11429185586593,1.57002035183995E-08,5.46132955800058E-06,-0.661723711708917
2.11743344851952,1.56349012656248E-08,5.47757690959704E-06,-0.660874589195765
2.12057504117311,1.55701297189842E-08,5.49382597707079E-06,-0.660016740764975
2.1237166338267,1.55057593483508E-08,5.51007655110953E-06,-0.659150214585114
2.12685822648029,1.54418560035092E-08,5.52632842307956E-06,-0.658275059308849
2.12999981913388,1.53784019457881E-08,5.54258138503833E-06,-0.657391324065226
2.13314141178747,1.53155060565653E-08,5.55883522974685E-06,-0.656499058453212
2.13628300444106,1.52529366126824E-08,5.57508975068175E-06,-0.655598312533771
2.13942459709465,1.51909331645888E-08,5.5913447420472E-06,-0.654689136822558
2.14256618974824,1.51292187830866E-08,5.60759999878657E-06,-0.653771582282296
2.14570778240183,1.50680909002079E-08,5.62385531659388E-06,-0.652845700315147
2.14884937505542,1.50073446051726E-08,5.640110491925E-06,-0.65191154275459
2.15199096770901,1.49470143105512E-08,5.65636532200853E-06,-0.650969161857734
2.1551325603626,1.48871432023898E-08,5.67261960485654E-06,-0.650018610297002
2.15827415301619,1.4827627388531E-08,5.68887313927505E-06,-0.649059941152082
2.16141574566978,1.47686058212715E-08,5.70512572487418E-06,-0.648093207901447
2.16455733832337,1.47099747216428E-08,5.72137716207803E-06,-0.64711846441412
