xUnsc,yUnsc
20.88,138.06
25.32,134.47
29.77,130.87
34.21,127.09
38.6,123.01
43.02,118.73
47.46,115.09
51.88,112.02
56.29,109.8
60.71,109.49
65.15,111.38
69.57,125.39
73.99,156.81
78.43,153.39
82.85,149.58
87.29,145.8
91.71,142.31
96.15,140.06
