xUnsc,yUnsc
144.88,154.74
149.33,151.45
153.76,147.94
158.18,144.17
162.61,140.05
167.03,135.63
171.46,131.03
175.89,126.38
180.32,122.13
184.75,118.74
189.18,116.8
193.6,116.67
198.02,118.32
202.46,121.37
206.88,125.25
211.3,129.55
215.74,134.18
220.16,139.71
224.59,154.75
